Date	weight
23/05/2015	90
24/05/2015	89,4
25/05/2015	89,6
26/05/2015	89,2
27/05/2015	88,6
28/05/2015	88,8
29/05/2015	90,2
30/05/2015	89,6
31/05/2015	89,2
01/06/2015	89
02/06/2015	89,2
03/06/2015	89,6
04/06/2015	89
05/06/2015	90
06/06/2015	89,4
07/06/2015	89,8
08/06/2015	89
09/06/2015	88,8
10/06/2015	89
11/06/2015	89,6
12/06/2015	89,2
13/06/2015	88,4
14/06/2015	88,6
15/06/2015	90,6
16/06/2015	89
17/06/2015	89,4
18/06/2015	90
19/06/2015	89,9
20/06/2015	89
21/06/2015	88,8
22/06/2015	89,2
23/06/2015	88,6
24/06/2015	88
25/06/2015	89,8
26/06/2015	90
27/06/2015	88,6
28/06/2015	89,6
29/06/2015	90
30/06/2015	91,2
01/07/2015	89,8
02/07/2015	91,6
03/07/2015	90,2
04/07/2015	89
05/07/2015	89,4
06/07/2015	90,8
07/07/2015	91
08/07/2015	91,6
09/07/2015	89,8
10/07/2015	90,2
11/07/2015	91,2
12/07/2015	90
13/07/2015	91,6
14/07/2015	91
15/07/2015	92,2
16/07/2015	91,4
17/07/2015	90,8
18/07/2015	91,6
19/07/2015	90,8
20/07/2015	90,8
21/07/2015	91,4
22/07/2015	90
23/07/2015	90,8
24/07/2015	91,2
25/07/2015	91,8
26/07/2015	91,2
27/07/2015	90,4
28/07/2015	90,4
29/07/2015	91,6
30/07/2015	91,4
31/07/2015	89,8
01/08/2015	89,6
02/08/2015	90,4
03/08/2015	90,2
04/08/2015	90,8
05/08/2015	91
06/08/2015	90
07/08/2015	89,8
08/08/2015	91,2
09/08/2015	91
10/08/2015	90,2
11/08/2015	89,6
12/08/2015	91,4
13/08/2015	92,4
14/08/2015	91,2
15/08/2015	93,4
16/08/2015	91,6
17/08/2015	91,4
18/08/2015	91,2
19/08/2015	92,2
20/08/2015	92,2
21/08/2015	92,2
22/08/2015	92
23/08/2015	91,8
24/08/2015	91,4
25/08/2015	91,4
26/08/2015	91,2
27/08/2015	91,2
28/08/2015	91
29/08/2015	92,8
30/08/2015	91,8
31/08/2015	90,8
01/09/2015	91
02/09/2015	91,6
03/09/2015	92
04/09/2015	92,2
05/09/2015	92
06/09/2015	92,4
07/09/2015	93,2
08/09/2015	91,6
09/09/2015	92,2
10/09/2015	91,6
11/09/2015	91,6
12/09/2015	91,6
13/09/2015	91,6
14/09/2015	91
15/09/2015	91,6
16/09/2015	93,4
17/09/2015	91,2
18/09/2015	90,2
19/09/2015	90,8
20/09/2015	91,4
21/09/2015	92,2
22/09/2015	91,8
23/09/2015	90,2
24/09/2015	91,2
25/09/2015	92
26/09/2015	91,8
27/09/2015	92,6
28/09/2015	92,4
29/09/2015	92,6
30/09/2015	91,8
01/10/2015	92,2
02/10/2015	91,8
03/10/2015	92,4
04/10/2015	91,6
05/10/2015	91,2
06/10/2015	91,6
07/10/2015	93,4
08/10/2015	92,8
09/10/2015	92,2
10/10/2015	92,4
11/10/2015	92,4
12/10/2015	92,2
13/10/2015	92,2
14/10/2015	91,6
15/10/2015	92,2
16/10/2015	92,2
17/10/2015	92,2
18/10/2015	91,4
19/10/2015	90,4
20/10/2015	91
21/10/2015	90,4
22/10/2015	91,2
23/10/2015	91,2
24/10/2015	90,2
25/10/2015	89,8
26/10/2015	90,8
27/10/2015	89,6
28/10/2015	90
29/10/2015	89,4
30/10/2015	89,4
31/10/2015	88,6
01/11/2015	88,6
02/11/2015	89,2
03/11/2015	89,6
04/11/2015	90,4
05/11/2015	89,6
06/11/2015	89
07/11/2015	88,6
08/11/2015	90,2
09/11/2015	89,2
10/11/2015	89,2
11/11/2015	89,6
12/11/2015	90,2
13/11/2015	89,4
14/11/2015	90,4
15/11/2015	90,6
16/11/2015	91,2
17/11/2015	89,2
18/11/2015	89,8
19/11/2015	88,8
20/11/2015	90,2
21/11/2015	91,2
22/11/2015	90,4
23/11/2015	89,6
24/11/2015	88,6
25/11/2015	90
26/11/2015	91,2
27/11/2015	89,2
28/11/2015	89,6
29/11/2015	90,6
30/11/2015	90,8
01/12/2015	90,4
02/12/2015	89,6
03/12/2015	89,6
04/12/2015	91,4
05/12/2015	91,4
06/12/2015	91
07/12/2015	90
08/12/2015	90,2
09/12/2015	90
10/12/2015	90
11/12/2015	91,2
12/12/2015	91
13/12/2015	89,4
14/12/2015	89,4
